fy,month,acwi_exUS,IWV,VBTIX
2001,1,,,
2002,1,-0.243098114174237,-0.165005849445792,0.0747961058637696
2003,1,-0.142617253094857,-0.223436556128641,0.065988787122518
2004,1,0.482912017004479,0.370791156458253,0.0453329358777841
2005,1,0.169454910312065,0.0657696275585307,0.0417612970903054
2006,1,0.269376570393003,0.12390887712225,0.01774497871238
2007,1,0.188389704259545,0.142672578783742,0.0446714062895861
2008,1,0.0496961818150163,-0.0344898735593108,0.0907901384614551
2009,1,-0.450102283407973,-0.387508053764058,0.0264273752582518
2010,1,0.475779207721697,0.34718262908105,0.0854409903930142
2011,1,0.180139118823281,0.239428288353517,0.04729934585278
2012,1,-0.0875119788479525,0.0368996089120575,0.0859061239070305
2013,1,0.138558675970974,0.167586288664515,0.025617021559698
2014,1,0.0574892756329044,0.222051958329399,0.000950770300011783
2015,1,0.00561189637959103,0.129473543238375,0.0672344653664161
2016,1,-0.119486043327864,-0.0275973900143663,-0.00446791680288683
2017,1,0.160939048489416,0.216210260230655,0.0145645497310691
2018,1,0.296813899637583,0.249787314641671,0.0214239673428303
2019,1,-0.12580755783474,-0.0245983971706834,0.0212107796859999
2020,1,0.0994003066101541,0.202953971439174,0.0993165858915606
2021,1,0.139538603506614,0.201253339571074,0.0467506060740541
2022,1,0.0362536350810514,0.187072760767896,-0.0301181095495567
2001,2,,,
2002,2,-0.172136322294152,-0.0886517824186428,0.0741639082173375
2003,2,-0.16608933926171,-0.222191391772414,0.0670453063724825
2004,2,0.552078489723798,0.414360996542835,0.0461352345464456
2005,2,0.19662062973726,0.0740700365427642,0.0246842208422973
2006,2,0.206307479178142,0.1024069156728,0.0280239550408254
2007,2,0.199146298435803,0.119286579734659,0.0564095948714356
2008,2,0.0733789872672832,-0.0452478715564784,0.0756523802338045
2009,2,-0.515307548427321,-0.436219968904725,0.0210180815074474
2010,2,0.627691898245692,0.555886989260028,0.0922814448065574
2011,2,0.211217996757096,0.243159952697236,0.0469807471116757
2012,2,-0.0609837725342407,0.0417549911217567,0.0835597414916334
2013,2,0.0665915911418866,0.1330344310451,0.0316843061648813
2014,2,0.122486802201505,0.266018876843677,0.000261376682158865
2015,2,0.00870565867814088,0.139448079173592,0.050693135167375
2016,2,-0.173726501661624,-0.079590999210917,0.0130445786316451
2017,2,0.193084611459615,0.261218448953864,0.0145395934267418
2018,2,0.216276729559749,0.160561335150855,0.00433804755759404
2019,2,-0.0646244854903098,0.0484316676655874,0.0311216083799948
2020,2,-0.00690362783210163,0.0660802972153407,0.118809692084795
2021,2,0.261836901920268,0.350751678248041,0.013643251936255
2022,2,-0.00397391193867624,0.1224018232694,-0.0263991923356886
2001,3,,,
2002,3,-0.0607439492206849,0.0157214018488581,0.052738322348195
2003,3,-0.224605685971497,-0.244258024066991,0.0815186301911639
2004,3,0.593046614257921,0.382911122180317,0.0557701718128072
2005,3,0.157058601584685,0.0694484037038086,0.0116125129688029
2006,3,0.275889884323619,0.142119652060098,0.0227568672120737
2007,3,0.198073741273322,0.109590875515805,0.0672821825729493
2008,3,0.0215121370668943,-0.062453728135951,0.0786894745632731
2009,3,-0.46464135763118,-0.384434253009131,0.0330213743632051
2010,3,0.609253100106759,0.527013799024779,0.0755033627649326
2011,3,0.131462616494543,0.172597031211734,0.0477727591429913
2012,3,-0.0717628089482231,0.0701683703734888,0.0772673871514857
2013,3,0.0836273967943539,0.14511339342356,0.0385543003921673
2014,3,0.123122365707111,0.222729524692291,-0.00204352962082144
2015,3,-0.0101405807877915,0.121537523162799,0.0565830389849906
2016,3,-0.0918624055336248,-0.0040810344847847,0.0184145619880698
2017,3,0.131344029312164,0.178769502501562,0.00431628337274348
